"Redirect configuration", "Configuration dei redirect"
"Login with PayPal configuration", "Configurazione Login with PayPal"
"Theme configuration", "Configurazione tema"
"Login With PayPal", "Login With PayPal"
"Secret", "Password (Secret)"
"Sandbox Secret", "Password Account Sandbox (Secret)"
"Sandbox Client ID", "Client ID Account Sandbox"
"Use Sandbox account", "Usa Account Sandbox"
"Sandbox endpoint", "Endpoint Account Sandbox"
"Production endpoint", "Endpoint account produzione"
"Success redirect page for checkout", "Pagina di redirect in caso di successo (checkout)"
"Error redirect page for checkout", "Pagina di redirect in caso di errore (checkout)"
"Success redirect page for customer login", "Pagina di redirect in caso di successo (login cliente)"
"Error redirect page for customer login", "Pagina di redirect in caso di errore (login cliente)"
"Info request scope", "Scope della richiesta informazione utente"
"Blue", "Blue"
"Neutral", "Neutro"
"Button theme", "Tema del pulsante"
"<h3>Need help to configure <q>Login With PayPal</q> extension?</h3><p>If you need help to configure <q>Login With PayPal</q> extension, please visit this page: <a href=""http://www.webformat.com/index.php?id=991&src=magento-config"" target=""_blank""><strong>Login with PayPal docs</strong></a>.</p>", "<h3>Hai bisogno di aiuto per configurare <q>Login With PayPal</q>?</h3><p>Se hai bisogno di aiuto durante la configurazione di <q>Login With PayPal</q>, visita la pagina: <a href=""http://www.webformat.com/index.php?id=989&src=magento-config"" target=""_blank""><strong>Login with PayPal docs</strong></a>.</p>"
