"Redirect configuration", "Konfiguracja przekierowania"
"Login with PayPal configuration", "Konfiguracja logowania kontem PayPal"
"Theme configuration", "Konfiguracja motywu"
"Login With PayPal", "Logowanie kontem PayPal"
"Secret", "Hasło (tajne)"
"Sandbox Secret", "Hasło do konta testowego (tajne)"
"Sandbox Client ID", "Identyfikator testowego konta użytkownika"
"Use Sandbox account", "Użyj konta testowego"
"Sandbox endpoint", "Punkt końcowy konta testowego"
"Production endpoint", "Punkt końcowy produkcji"
"Success redirect page for checkout", "Strona poprawnego przekierowania dla koszyka"
"Error redirect page for checkout", "Strona błędnego przekierowania dla koszyka"
"Success redirect page for customer login", "Strona poprawnego przekierowania logowania klienta"
"Error redirect page for customer login", "Strona błędnego przekierowania logowania klienta"
"Info request scope", "Zakres żądania informacji "
"Blue", "Niebieski"
"Neutral", "Neutralny"
"Button theme", "Motyw przycisku"
"<h3>Need help to configure <q>Login With PayPal</q> extension?</h3><p>If you need help to configure <q>Login With PayPal</q> extension, please visit this page: <a href=""http://www.webformat.com/index.php?id=991&src=magento-config"" target=""_blank""><strong>Login with PayPal docs</strong></a>.</p>", "<h3>Potrzebujesz pomocy przy konfiguracji <q>Logowania kontem PayPal</q>?</h3><p>Jeżeli potrzebujesz pomocy w konfiguracji modułu <q>Logowania kontem PayPal</q>, odwiedź stronę: <a href=""http://www.webformat.com/index.php?id=989&src=magento-config"" target=""_blank""><strong>Logowanie kontem PayPal</strong></a>.</p>"
